maTTHC;tenTTHC;DoiTuong;LinhVuc;;;;;;
1.001178.H17;Cấp lại giấy xác nhận nội dung quảng cáo hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế trong trường hợp hết hiệu lực tại Khoản 2 Điều 21 Thông tư số 09/2015/TT-BYT;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Phòng bệnh (Bộ Y tế);;;;;;
1.001114.H17;Cấp lại giấy xác nhận nội dung quảng cáo hóa chất, chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế khi có thay đổi về tên, địa chỉ của tổ chức, cá nhân chịu trách nhiệm và không thay đổi nội dung quảng cáo;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Phòng bệnh (Bộ Y tế);;;;;;
1.001928.H17;Công nhận đào tạo nghề luật sư ở nước ngoài;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài";Luật sư (Bộ Tư pháp);;;;;;
2.001573.H17;Chấm dứt hoạt động bán hàng đa cấp;Doanh nghiệp;Quản lý bán hàng đa cấp (Bộ Công Thương);;;;;;
2.001682.H17;Đăng ký chỉ định cơ sở kiểm nghiệm thực phẩm phục vụ quản lý nhà nước;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài";An toàn thực phẩm (Bộ Công Thương);;;;;;
2.000026.H17;Đăng ký tổ chức Hội chợ, Triển lãm thương mại tại nước ngoài;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Xúc tiến thương mại (Bộ Công Thương);;;;;;
2.000133.H17;Đăng ký sửa đổi, bổ sung nội dung tổ chức hội chợ, triển lãm thương mại tại nước ngoài.;Doanh nghiệp;Xúc tiến thương mại (Bộ Công Thương);;;;;;
1.012655.H17;Thủ tục đề nghị mời chức sắc, nhà tu hành là người nước ngoài đến giảng đạo cho nhóm người nước ngoài sinh hoạt tôn giáo tập trung (Cấp Tỉnh);Người nước ngoài;Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo);;;;;;
1.012660.H17;Thủ tục đề nghị cho người nước ngoài học tại cơ sở đào tạo tôn giáo ở Việt nam (Cấp Tỉnh);"Người nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo);;;;;;
1.009788.H17;Cho ý kiến về kết quả đánh giá an toàn công trình đối với công trình xây dựng nằm trên địa bàn tỉnh.;Công dân Việt Nam;Quản lý chất lượng công trình xây dựng (Bộ Xây dựng);;;;;;
1.009791.H17;Cho ý kiến về việc kéo dài thời hạn sử dụng của công trình hết thời hạn sử dụng theo thiết kế nhưng có nhu cầu sử dụng tiếp (trừ trường hợp nhà ở riêng lẻ);Công dân Việt Nam;Quản lý chất lượng công trình xây dựng (Bộ Xây dựng);;;;;;
1.008672.H17;Cấp giấy phép khai thác mẫu vật loài nguy cấp, quý, hiếm từ tự nhiên;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Bảo tồn thiên nhiên và Đa dạng sinh học (Bộ Nông nghiệp và Môi trường);;;;;;
1.004160.H17;Đăng ký tiếp cận nguồn gen;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Bảo tồn thiên nhiên và Đa dạng sinh học (Bộ Nông nghiệp và Môi trường);;;;;;
1.004150.H17;Cấp Giấy phép tiếp cận nguồn gen;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Bảo tồn thiên nhiên và Đa dạng sinh học (Bộ Nông nghiệp và Môi trường);;;;;;
1.004096.H17;Gia hạn Giấy phép tiếp cận nguồn gen;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Bảo tồn thiên nhiên và Đa dạng sinh học (Bộ Nông nghiệp và Môi trường);;;;;;
3.000179.H17;Cấp Giấy phép xuất khẩu, nhập khẩu giống cây trồng lâm nghiệp;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Lâm nghiệp (Bộ Nông nghiệp và Môi trường);;;;;;
3.000180.H17;Cấp lại Giấy phép xuất khẩu, nhập khẩu giống cây trồng lâm nghiệp do bị mất, bị hỏng;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Lâm nghiệp (Bộ Nông nghiệp và Môi trường);;;;;;
2.001088.H17;Xét hưởng chính sách hỗ trợ cho đối tượng sinh con đúng chính sách dân số.;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức";Dân số, Bà mẹ - Trẻ em (Bộ Y tế);;;;;;
1.008614.H17;Thu hồi chứng chỉ hành nghề luật sư;Công dân Việt Nam;Luật sư (Bộ Tư pháp);;;;;;
1.003951.H17;Đăng ký gia hạn chỉ định cơ sở kiểm nghiệm thực phẩm phục vụ quản lý nhà nước;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài";An toàn thực phẩm (Bộ Công Thương);;;;;;
2.001660.H17;Đăng ký thay đổi, bổ sung phạm vi chỉ định cơ sở kiểm nghiệm thực phẩm phục vụ quản lý nhà nước;Tổ chức (không bao gồm doanh nghiệp, HTX);An toàn thực phẩm (Bộ Công Thương);;;;;;
1.003860.H17;Đăng ký chỉ định cơ sở kiểm nghiệm kiểm chứng về an toàn thực phẩm;Tổ chức (không bao gồm doanh nghiệp, HTX);An toàn thực phẩm (Bộ Công Thương);;;;;;
2.001595.H17;Đăng ký gia hạn chỉ định cơ sở kiểm nghiệm kiểm chứng về an toàn thực phẩm;Tổ chức (không bao gồm doanh nghiệp, HTX);An toàn thực phẩm (Bộ Công Thương);;;;;;
1.003929.H17;Đăng ký thay đổi, bổ sung phạm vi chỉ định cơ sở kiểm nghiệm kiểm chứng về an toàn thực phẩm;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài";An toàn thực phẩm (Bộ Công Thương);;;;;;
2.000117.H17;Cấp Giấy chứng nhận đủ điều kiện an toàn thực phẩm đối với cơ sở kinh doanh thực phẩm;Doanh nghiệp;An toàn thực phẩm (Bộ Công Thương);;;;;;
1.005024.H17;Phê duyệt điều chỉnh quy trình vận hành, khai thác bến phà, bến khách ngang sông sử dụng phà một lưỡi chở hành khách và xe ô tô;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.005021.H17;Phê duyệt quy trình vận hành, khai thác bến bến phà, bến khách ngang sông sử dụng phà một lưỡi chở hành khách và xe ô tô;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.002829.H17;Cấp, cấp lại Giấy phép vận tải đường bộ quốc tế GMS;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.000302.H17;Cấp, cấp lại Giấy phép vận tải đường bộ quốc tế giữa Việt Nam và Campuchia;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.000321.H17;Đăng ký khai thác tuyến, bổ sung hoặc thay thế phương tiện khai thác tuyến vận tải hành khách cố định giữa Việt Nam và Campuchia;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001666.H17;Chấp thuận cơ sở kinh doanh đào tạo thẩm tra viên an toàn giao thông đường bộ;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001692.H17;Cấp chứng chỉ thẩm tra viên an toàn giao thông đường bộ;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.001725.H17;Cấp đổi chứng chỉ thẩm tra viên an toàn giao thông đường bộ;"Công dân Việt Nam; Người nước ngoài";Đường bộ (Bộ Xây dựng);;;;;;
1.001717.H17;Cấp lại chứng chỉ thẩm tra viên an toàn giao thông đường bộ;"Công dân Việt Nam; Người nước ngoài";Đường bộ (Bộ Xây dựng);;;;;;
1.002817.H17;Cấp, cấp lại Giấy phép liên vận GMS hoặc sổ TAD;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.002847.H17;Đăng ký khai thác tuyến, bổ sung, thay thế phương tiện khai thác tuyến vận tải hành khách cố định giữa Việt Nam và Lào;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đường bộ (Bộ Xây dựng);;;;;;
1.009447.H17;Công bố đóng cảng, bến thủy nội địa;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.013796.H17;THỦ TỤC ĐỀ NGHỊ TỔ CHỨC ĐẠI HỘI CỦA TỔ CHỨC TÔN GIÁO, TỔ CHỨC TÔN GIÁO TRỰC THUỘC, TỔ CHỨC ĐƯỢC CẤP CHỨNG NHẬN ĐĂNG KÝ HOẠT ĐỘNG TÔN GIÁO CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT XÃ;Tổ chức (không bao gồm doanh nghiệp, HTX);Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo);;;;;;
1.013797.H17;THỦ TỤC ĐỀ NGHỊ TỔ CHỨC CUỘC LỄ NGOÀI CƠ SỞ TÔN GIÁO, ĐỊA ĐIỂM HỢP PHÁP ĐÃ ĐĂNG KÝ CÓ QUY MÔ TỔ CHỨC Ở MỘT XÃ;Tổ chức (không bao gồm doanh nghiệp, HTX);Tín ngưỡng, tôn giáo (Dân tộc và Tôn giáo);;;;;;
1.013769.H17;chuyển đổi công năng nhà ở không thuộc tài sản công;"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Nhà ở và công sở (Bộ Xây dựng);;;;;;
1.012891.H17;Cho thuê nhà ở công vụ thuộc thẩm quyền quản lý của địa phương;Cán bộ, công chức, viên chức;Nhà ở và công sở (Bộ Xây dựng);;;;;;
1.013977.H17;"Đăng ký biến động thay đổi quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất do chia, tách, hợp nhất, sáp nhập tổ chức hoặc chuyển đổi mô hình tổ chức, chuyển đổi loại hình doanh nghiệp theo quy định của pháp luật về doanh nghiệp; điều chỉnh quy hoạch xây dựng chi tiết; cấp Giấy chứng nhận cho từng thửa đất theo quy hoạch xây dựng chi tiết cho chủ đầu tư dự án có nhu cầu";"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013980.H17;"Đăng ký biến động đối với trường hợp thay đổi quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất theo thỏa thuận của các thành viên hộ gia đình hoặc của vợ và chồng; quyền sử dụng đất xây dựng công trình trên mặt đất phục vụ cho việc vận hành, khai thác sử dụng công trình ngầm, quyền sở hữu công trình ngầm; bán tài sản, điều chuyển, chuyển nhượng quyền sử dụng đất là tài sản công theo quy định của pháp luật về quản lý, sử dụng tài sản công; nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất theo kết quả giải quyết tranh chấp, khiếu nại, tố cáo về đất đai hoặc bản án, quyết định của Tòa án, quyết định thi hành án của cơ quan thi hành án đã được thi hành; quyết định hoặc phán quyết của Trọng tài thương mại Việt Nam về giải quyết tranh chấp giữa các bên phát sinh từ hoạt động thương mại liên quan đến đất đai; nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất do xử lý tài sản thế chấp là quyền sử dụng đất, tài sản gắn liền với đất đã được đăng ký, bao gồm cả xử lý khoản nợ có nguồn gốc từ khoản nợ xấu của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài";"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013988.H17;Xóa ghi nợ tiền sử dụng đất, lệ phí trước bạ trên Giấy chứng nhận đã cấp;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013992.H17;Đăng ký biến động chuyển mục đích sử dụng đất không phải xin phép cơ quan nhà nước có thẩm quyền;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013993.H17;Đăng ký, cấp Giấy chứng nhận đối với trường hợp hộ gia đình, cá nhân đang sử dụng đất không đúng mục đích đã được Nhà nước công nhận quyền sử dụng đất trước ngày 01 tháng 7 năm 2014;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013994.H17;Đăng ký, cấp Giấy chứng nhận đối với trường hợp chuyển nhượng dự án đầu tư có sử dụng đất;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013945.H17;Tổ chức kinh tế nhận chuyển nhượng, thuê quyền sử dụng đất, nhận góp vốn bằng quyền sử dụng đất để thực hiện dự án đầu tư;Tổ chức (không bao gồm doanh nghiệp, HTX);Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013946.H17;Sử dụng đất kết hợp đa mục đích, gia hạn phương án sử dụng đất kết hợp đa mục đích;Tổ chức (không bao gồm doanh nghiệp, HTX);Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013995.H17;Đăng ký tài sản gắn liền với thửa đất đã được cấp Giấy chứng nhận hoặc đăng ký thay đổi về tài sản gắn liền với đất so với nội dung đã đăng ký, gia hạn thời hạn sở hữu nhà ở của tổ chức nước ngoài, cá nhân nước ngoài theo quy định của pháp luật về nhà ở  nội dung đã đăng ký;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013947.H17;Xác nhận tiếp tục sử dụng đất nông nghiệp;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013823.H17;"Giao đất, cho thuê đất, chuyển mục đích sử dụng đất đối với trường hợp giao đất, cho thuê đất không đấu giá quyền sử dụng đất, không đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất;  trường hợp giao đất, cho thuê đất thông qua đấu thầu lựa chọn nhà đầu tư thực hiện dự án có sử dụng đất; giao đất và giao rừng; cho thuê đất và cho thuê rừng; gia hạn sử dụng đất khi hết thời hạn sử dụng đất";"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013825.H17;Chuyển hình thức giao đất, cho thuê đất;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013826.H17;"Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất do thay đổi căn cứ quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất; điều chỉnh thời hạn sử dụng đất của dự án đầu tư";Tổ chức (không bao gồm doanh nghiệp, HTX);Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013827.H17;Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất do sai sót về ranh giới, vị trí, diện tích, mục đích sử dụng giữa bản đồ quy hoạch, bản đồ địa chính, quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất và số liệu bàn giao đất trên thực địa.;Tổ chức (không bao gồm doanh nghiệp, HTX);Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013828.H17;Giao đất, cho thuê đất, giao khu vực biển để thực hiện hoạt động lấn biển;Tổ chức (không bao gồm doanh nghiệp, HTX);Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013831.H17;"Đăng ký biến động quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất trong các trường hợp chuyển đổi quyền sử dụng đất nông nghiệp mà không theo phương án dồn điền, đổi thửa; chuyển nhượng, thừa kế, tặng cho quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất, góp vốn bằng quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất; cho thuê, cho thuê lại quyền sử dụng đất trong dự án xây dựng kinh doanh kết cấu hạ tầng; bán hoặc tặng cho hoặc để thừa kế hoặc góp vốn bằng tài sản gắn liền với đất thuê của Nhà nước theo hình thức thuê đất trả tiền hàng năm";"Người Việt Nam định cư ở nước ngoài; Cán bộ, công chức, viên chức; Tổ chức (không bao gồm doanh nghiệp, HTX)";Đất đai (Bộ Nông nghiệp và Môi trường);;;;;;
1.013871.H17;Bổ nhiệm giám định viên pháp y và pháp y tâm thần.;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tổ chức cán bộ (Bộ Y tế);;;;;;
1.013876.H17;Miễn nhiệm giám định viên pháp y và pháp y tâm thần.;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tổ chức cán bộ (Bộ Y tế);;;;;;
1.013824.H17;Cấp giấy chứng nhận cơ sở giáo dục đủ điều kiện kiểm tra và công nhận biết tiếng Việt thành thạo hoặc sử dụng thành thạo ngôn ngữ khác hoặc đủ trình độ phiên dịch trong khám bệnh, chữa bệnh.;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Đào tạo và Nghiên cứu khoa học (Bộ Y tế);;;;;;
1.003094.H17;Kiểm tra nhà nước về an toàn thực phẩm đối với thực phẩm nhập khẩu theo phương thức kiểm tra giảm;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn thực phẩm (Bộ Y tế);;;;;;
1.009459.H17;Công bố mở luồng chuyên dùng nối với luồng quốc gia, luồng chuyên dùng nối với luồng địa phương;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009460.H17;Công bố đóng luồng đường thủy nội địa khi không có nhu cầu khai thác, sử dụng;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009458.H17;Công bố hoạt động cảng thủy nội địa trường hợp không còn nhu cầu tiếp nhận phương tiện thủy nước ngoài;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009442.H17;Thỏa thuận thông số kỹ thuật xây dựng luồng đường thủy nội địa;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009443.H17;Đổi tên cảng, bến thủy nội địa, khu neo đậu;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.013934.H17;Cấp, cấp lại giấy chứng nhận đủ điều kiện kinh doanh dịch vụ lưu trữ;Tổ chức (không bao gồm doanh nghiệp, HTX);Văn thư và Lưu trữ nhà nước (Bộ Nội vụ);;;;;;
1.013937.H17;Công nhận tài liệu lưu trữ có giá trị đặc biệt.;"Công dân Việt Nam; Tổ chức (không bao gồm doanh nghiệp, HTX)";Văn thư và Lưu trữ nhà nước (Bộ Nội vụ);;;;;;
2.000111.H17;Hỗ trợ kinh phí huấn luyện an toàn, vệ sinh lao động;"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";An toàn, vệ sinh lao động (Bộ Nội vụ);;;;;;
2.002308.H17;Giải quyết chế độ mai táng phí đối với thanh niên xung phong thời kỳ chống Pháp;Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.013746.H17;Xác định danh tính hài cốt liệt sĩ còn thiếu thông tin bằng phương pháp thực chứng.;Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.013747.H17;Lấy mẫu để giám định ADN xác định danh tính hài cốt liệt sĩ còn thiếu thông tin.;Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.013748.H17;Khám giám định lại tỷ lệ tổn thương cơ thể đối với thương binh không công tác trong quân đội, công an, người hưởng chính sách như thương binh có vết thương đặc biệt tái phát và điều chỉnh chế độ.;Công dân Việt Nam;Người có công (Bộ Nội vụ);;;;;;
1.013749.H17;Giải quyết chế độ đối với quân nhân, cán bộ đi chiến trường B,C,K trong thời kỳ chống mỹ cứu nước không có thân nhân phải trực tiếp nuôi dưỡng và quân nhân, cán bộ được đảng cử ở lại miền nam hoạt động sau hiệp định Giơnevơ năm 1954 đối với cán bộ dân, chính, đảng;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Người có công (Bộ Nội vụ);;;;;;
1.004239.H17;Phê duyệt đánh giá an ninh cảng thủy nội địa tiếp nhận phương tiện thủy nước ngoài;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.003570.H17;Phê duyệt kế hoạch an ninh và cấp giấy chứng nhận phù hợp an ninh cảng thủy nội địa tiếp nhận phương tiện thủy nước ngoài;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009448.H17;Thiết lập khu neo đậu;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009449.H17;Công bố hoạt động khu neo đậu;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009450.H17;Công bố đóng khu neo đậu;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009451.H17;Thỏa thuận thiết lập báo hiệu đường thủy nội địa đối với công trình xây dựng, hoạt động trên đường thủy nội địa;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.009461.H17;Thông báo luồng đường thủy nội địa chuyên dùng;"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
